N,cache,num_cycle,speedup,dma_read_req,dma_read_req_reduction,dma_write_req,dma_write_req_reduction,load_under_miss,store_under_miss
4096,blocking,6810,1.000000,0,0,0,0,0,0
8192,blocking,14274,1.000000,0,0,0,0,0,0
16384,blocking,27899,1.000000,0,0,0,0,0,0
32768,blocking,54317,1.000000,0,0,0,0,0,0
65536,blocking,4732045,1.000000,43785,0,32177,0,0,0
131072,blocking,13785783,1.000000,135076,0,73124,0,0,0
262144,blocking,25891202,1.000000,255857,0,130381,0,0,0
4096,non-blocking-8,7525,0.904983,0,0,0,0,0,0
8192,non-blocking-8,13973,1.021542,0,0,0,0,0,0
16384,non-blocking-8,26843,1.039340,0,0,0,0,0,0
32768,non-blocking-8,52589,1.032859,0,0,0,0,0,0
65536,non-blocking-8,4448547,1.063728,35601,0.1869133265,35602,-0.10644249,2653,34159
131072,non-blocking-8,10341727,1.333025,82413,0.3898768101,82414,-0.1270444724,7413,54744
262144,non-blocking-8,34858699,0.742747,280764,-0.09734734637,280765,-1.153419593,2346,86094
4096,non-blocking-16,7525,0.904983,0,0,0,0,0,0
8192,non-blocking-16,13977,1.021249,0,0,0,0,0,0
16384,non-blocking-16,26859,1.038721,2,0,0,0,0,0
32768,non-blocking-16,52589,1.032859,0,0,0,0,0,0
65536,non-blocking-16,4361782,1.084888,34878,0.2034258308,34879,-0.08397302421,1795,26920
131072,non-blocking-16,10032752,1.374078,79896,0.4085107643,79897,-0.09262348887,4850,40513
262144,non-blocking-16,24376700,1.062129,193849,0.2423541275,193850,-0.486796389,6845,77413
4096,non-blocking-32,7525,0.904983,0,0,0,0,0,0
8192,non-blocking-32,13973,1.021542,9,0,0,0,0,0
16384,non-blocking-32,26833,1.039727,5,0,0,0,0,0
32768,non-blocking-32,52589,1.032859,3,0,0,0,0,0
65536,non-blocking-32,4311452,1.097553,34548,0.2109626584,34549,-0.07371725145,1148,21335
131072,non-blocking-32,9878057,1.395597,78614,0.4180017176,78615,-0.07509162518,2878,33524
262144,non-blocking-32,20450157,1.266064,162589,0.3645317502,162590,-0.2470375285,5894,63292
